,temperatura,temperatura_max,temperatura_min,precipitacion,humedad_relativa,presion_atmosferica,velocidad_viento,direccion_viento,nubosidad,radiacion_solar,punto_rocio,grados_dia,confort_termico
2025-09-06 15:32:34.105103,7.47,13.63,0.92,0.0,82.25,987.88,3.56,298.76,36.45,488.97,3.92,0.0,0
2025-09-06 16:32:34.105103,5.24,9.53,2.06,0.0,96.92,991.49,5.18,303.83,54.83,272.43,4.63,0.0,0
2025-09-06 17:32:34.105103,6.21,9.91,1.7,0.0,86.0,991.23,4.2,166.58,41.99,439.1,3.42,0.0,0
2025-09-06 18:32:34.105103,7.76,14.94,3.45,0.0,92.79,992.95,3.93,254.35,44.5,328.63,6.32,0.0,0
2025-09-06 19:32:34.105103,4.45,12.37,-0.35,0.0,87.59,986.14,3.94,245.68,27.52,389.47,1.97,0.0,0
2025-09-06 20:32:34.105103,5.05,10.68,1.61,0.0,99.84,982.8,4.96,250.71,33.35,336.2,5.02,0.0,0
2025-09-06 21:32:34.105103,9.63,13.49,1.95,0.0,85.2,992.32,3.79,267.95,40.82,182.26,6.67,0.0,0
2025-09-06 22:32:34.105103,9.25,13.61,3.48,0.0,87.66,987.26,7.54,270.86,25.19,170.75,6.78,0.0,0
2025-09-06 23:32:34.105103,8.22,11.32,3.7,0.0,96.29,983.69,2.7,219.45,37.83,105.42,7.48,0.0,0
2025-09-07 00:32:34.105103,11.74,19.32,6.76,0.0,77.95,990.11,6.49,351.36,38.98,0.0,7.33,1.74,0
2025-09-07 01:32:34.105103,11.29,14.87,6.05,0.0,78.09,992.05,8.55,277.81,24.22,81.83,6.9,1.29,0
2025-09-07 02:32:34.105103,12.73,18.61,6.72,0.0,79.99,989.31,3.21,333.24,51.05,107.63,8.73,2.73,0
2025-09-07 03:32:34.105103,15.39,19.76,9.81,0.0,84.11,988.3,6.18,258.04,49.3,107.43,12.21,5.39,0
2025-09-07 04:32:34.105103,12.03,17.8,4.43,0.0,76.36,989.2,5.56,246.49,17.47,446.02,7.3,2.03,0
2025-09-07 05:32:34.105103,13.01,19.26,7.52,0.0,68.33,988.56,3.49,339.74,19.84,320.01,6.67,3.01,0
2025-09-07 06:32:34.105103,15.53,22.68,7.57,0.0,76.44,985.63,3.12,209.13,10.36,442.16,10.82,5.53,0
2025-09-07 07:32:34.105103,14.43,18.46,7.17,0.0,83.11,987.53,5.76,343.72,28.73,518.04,11.05,4.43,0
2025-09-07 08:32:34.105103,16.48,19.54,12.44,0.0,83.28,991.24,10.39,221.82,44.3,421.55,13.14,6.48,0
2025-09-07 09:32:34.105103,13.09,16.77,5.43,0.0,80.06,990.64,8.01,307.0,30.89,459.51,9.1,3.09,0
2025-09-07 10:32:34.105103,10.83,18.33,7.25,0.0,83.69,990.18,6.2,224.77,41.45,482.78,7.57,0.83,0
