fecha,estacion,temperatura_max,temperatura_min,temperatura_promedio,humedad_relativa,velocidad_viento,direccion_viento,precipitacion,presion_atmosferica,nubosidad,radiacion_solar,punto_rocio,indice_calor,indice_frio,calidad_aire,uv_index
2020-10-08 23:03:39.132346,quillota_centro,17.7,2.7,10.2,93.1,20.1,56.2,0.0,1029.0,93.0,431.1,8.9,14.1,6.6,55.9,3.1
2020-10-09 23:03:39.132346,quillota_centro,16.2,0.5,8.4,97.9,19.9,177.8,0.0,1016.6,76.0,539.7,8.0,12.7,4.8,16.6,6.3
2020-10-10 23:03:39.132346,quillota_centro,18.7,-1.0,8.9,97.8,12.5,81.5,0.0,1009.6,92.8,387.5,8.5,13.2,6.0,57.4,3.6
2020-10-11 23:03:39.132346,quillota_centro,15.6,4.3,9.9,82.0,16.0,250.6,0.0,1014.2,73.9,473.7,6.7,12.8,6.7,66.1,5.0
2020-10-12 23:03:39.132346,quillota_centro,21.0,3.9,12.5,69.8,11.3,35.2,0.0,1032.0,36.0,695.5,7.0,14.2,9.8,5.1,5.0
2020-10-13 23:03:39.132346,quillota_centro,15.3,0.0,7.7,79.2,16.3,284.3,4.1,1014.0,79.5,629.4,3.9,10.3,4.4,42.1,3.3
2020-10-14 23:03:39.132346,quillota_centro,14.2,1.4,7.8,77.7,21.6,335.8,0.0,1025.0,57.6,448.2,3.8,10.3,4.1,72.1,5.6
2020-10-15 23:03:39.132346,quillota_centro,15.7,-1.7,7.0,89.2,10.2,14.7,0.0,1008.5,61.1,549.6,5.0,10.5,4.4,16.3,5.3
2020-10-16 23:03:39.132346,quillota_centro,15.8,4.2,10.0,81.2,16.2,61.5,0.0,1014.2,82.5,353.0,6.6,12.8,6.8,55.9,3.4
2020-10-17 23:03:39.132346,quillota_centro,18.5,6.8,12.7,84.5,16.3,42.1,0.0,998.5,92.4,514.1,9.9,15.8,9.4,36.7,4.8
2020-10-18 23:03:39.132346,quillota_centro,13.2,5.0,9.1,85.2,20.8,80.9,0.0,1010.8,67.5,310.1,6.4,12.3,5.5,43.9,4.9
2020-10-19 23:03:39.132346,quillota_centro,18.7,2.8,10.8,80.4,17.7,93.4,0.0,997.7,79.2,405.0,7.2,13.5,7.4,80.1,1.5
2020-10-20 23:03:39.132346,quillota_centro,18.9,3.1,11.0,87.6,13.4,178.4,0.0,1009.9,46.4,624.3,8.8,14.4,8.1,55.0,7.2
2020-10-21 23:03:39.132346,quillota_centro,13.9,4.0,8.9,88.6,13.6,138.4,0.0,1023.1,71.4,559.3,6.9,12.4,6.0,58.5,3.3
2020-10-22 23:03:39.132346,quillota_centro,19.4,4.1,11.8,87.5,10.5,299.6,0.0,1015.2,75.2,413.1,9.5,15.1,9.2,59.9,5.8
2020-10-23 23:03:39.132346,quillota_centro,16.2,-0.5,7.9,84.1,21.5,72.2,0.0,1014.5,59.2,697.3,5.0,10.9,4.2,31.9,5.0
2020-10-24 23:03:39.132346,quillota_centro,20.7,1.6,11.1,85.3,13.1,71.8,0.0,1010.7,42.5,720.0,8.5,14.3,8.3,57.9,5.9
2020-10-25 23:03:39.132346,quillota_centro,15.0,2.3,8.7,82.5,11.8,336.2,0.0,1002.9,59.5,612.9,5.5,11.6,5.9,47.8,6.4
2020-10-26 23:03:39.132346,quillota_centro,20.3,6.9,13.6,73.7,12.8,172.5,3.9,999.4,56.6,726.0,8.8,15.7,10.7,93.8,7.9
2020-10-27 23:03:39.132346,quillota_centro,17.6,0.0,8.8,98.0,4.8,140.7,0.0,1015.9,89.0,494.0,8.4,13.1,7.0,53.3,2.9
2020-10-28 23:03:39.132346,quillota_centro,15.8,2.3,9.0,95.8,8.2,161.0,0.0,997.2,96.5,467.2,8.3,13.2,6.7,50.0,3.6
2020-10-29 23:03:39.132346,quillota_centro,13.0,2.9,7.9,79.0,3.5,297.9,0.0,1007.5,20.5,713.3,4.1,10.6,6.5,52.8,5.6
2020-10-30 23:03:39.132346,quillota_centro,14.1,1.1,7.6,98.0,9.5,348.7,0.0,1013.6,100.0,629.9,7.3,11.9,5.2,59.9,4.3
